	resp.id	ques	alt	carpool	seat	cargo	eng	price	choice	cargo3	engElec	engHyb	p35	p40	s7	s8	cp_d
0	1	1	1	yes	6	2ft	gas	35	0	False	False	False	True	False	False	False	True
1	1	1	2	yes	8	3ft	hyb	30	0	True	False	True	False	False	False	True	True
2	1	1	3	yes	6	3ft	gas	30	1	True	False	False	False	False	False	False	True
3	1	2	1	yes	6	2ft	gas	30	0	False	False	False	False	False	False	False	True
4	1	2	2	yes	7	3ft	gas	35	1	True	False	False	True	False	True	False	True
5	1	2	3	yes	6	2ft	elec	35	0	False	True	False	True	False	False	False	True
6	1	3	1	yes	8	3ft	gas	35	1	True	False	False	True	False	False	True	True
7	1	3	2	yes	7	3ft	elec	30	0	True	True	False	False	False	True	False	True
8	1	3	3	yes	8	2ft	elec	40	0	False	True	False	False	True	False	True	True
9	1	4	1	yes	7	3ft	elec	40	1	True	True	False	False	True	True	False	True
10	1	4	2	yes	8	3ft	gas	40	0	True	False	False	False	True	False	True	True
11	1	4	3	yes	6	2ft	hyb	30	0	False	False	True	False	False	False	False	True
12	1	5	1	yes	6	3ft	elec	30	1	True	True	False	False	False	False	False	True
13	1	5	2	yes	6	3ft	elec	40	0	True	True	False	False	True	False	False	True
14	1	5	3	yes	6	3ft	hyb	40	0	True	False	True	False	True	False	False	True
15	1	6	1	yes	6	2ft	elec	40	0	False	True	False	False	True	False	False	True
16	1	6	2	yes	7	2ft	gas	35	1	False	False	False	True	False	True	False	True
17	1	6	3	yes	7	2ft	hyb	35	0	False	False	True	True	False	True	False	True
18	1	7	1	yes	6	3ft	hyb	35	1	True	False	True	True	False	False	False	True
19	1	7	2	yes	7	3ft	gas	40	0	True	False	False	False	True	True	False	True
20	1	7	3	yes	6	2ft	elec	30	0	False	True	False	False	False	False	False	True
21	1	8	1	yes	6	3ft	elec	35	0	True	True	False	True	False	False	False	True
22	1	8	2	yes	8	3ft	hyb	40	0	True	False	True	False	True	False	True	True
23	1	8	3	yes	7	3ft	hyb	30	1	True	False	True	False	False	True	False	True
24	1	9	1	yes	6	2ft	hyb	35	1	False	False	True	True	False	False	False	True
25	1	9	2	yes	7	2ft	gas	30	0	False	False	False	False	False	True	False	True
26	1	9	3	yes	7	2ft	gas	40	0	False	False	False	False	True	True	False	True
27	1	10	1	yes	8	3ft	elec	35	0	True	True	False	True	False	False	True	True
28	1	10	2	yes	8	3ft	elec	30	1	True	True	False	False	False	False	True	True
29	1	10	3	yes	7	2ft	elec	35	0	False	True	False	True	False	True	False	True
30	1	11	1	yes	7	3ft	hyb	35	1	True	False	True	True	False	True	False	True
31	1	11	2	yes	8	2ft	hyb	40	0	False	False	True	False	True	False	True	True
32	1	11	3	yes	6	2ft	hyb	40	0	False	False	True	False	True	False	False	True
33	1	12	1	yes	8	3ft	elec	40	0	True	True	False	False	True	False	True	True
34	1	12	2	yes	8	2ft	hyb	35	0	False	False	True	True	False	False	True	True
35	1	12	3	yes	8	2ft	gas	35	1	False	False	False	True	False	False	True	True
36	1	13	1	yes	6	3ft	hyb	30	0	True	False	True	False	False	False	False	True
37	1	13	2	yes	8	2ft	hyb	30	1	False	False	True	False	False	False	True	True
38	1	13	3	yes	8	3ft	gas	30	0	True	False	False	False	False	False	True	True
39	1	14	1	yes	8	2ft	gas	40	0	False	False	False	False	True	False	True	True
40	1	14	2	yes	8	2ft	elec	30	0	False	True	False	False	False	False	True	True
41	1	14	3	yes	7	2ft	elec	30	1	False	True	False	False	False	True	False	True
42	1	15	1	yes	7	2ft	hyb	30	0	False	False	True	False	False	True	False	True
43	1	15	2	yes	7	3ft	hyb	40	1	True	False	True	False	True	True	False	True
44	1	15	3	yes	7	3ft	gas	30	0	True	False	False	False	False	True	False	True
45	2	1	1	no	6	2ft	elec	40	1	False	True	False	False	True	False	False	False
46	2	1	2	no	7	3ft	gas	40	0	True	False	False	False	True	True	False	False
47	2	1	3	no	6	2ft	elec	30	0	False	True	False	False	False	False	False	False
48	2	2	1	no	6	2ft	gas	30	1	False	False	False	False	False	False	False	False
49	2	2	2	no	6	3ft	hyb	40	0	True	False	True	False	True	False	False	False
50	2	2	3	no	7	2ft	gas	30	0	False	False	False	False	False	True	False	False
51	2	3	1	no	7	3ft	elec	30	0	True	True	False	False	False	True	False	False
52	2	3	2	no	8	3ft	elec	35	1	True	True	False	True	False	False	True	False
53	2	3	3	no	7	3ft	gas	35	0	True	False	False	True	False	True	False	False
54	2	4	1	no	8	3ft	elec	30	1	True	True	False	False	False	False	True	False
55	2	4	2	no	6	2ft	gas	35	0	False	False	False	True	False	False	False	False
56	2	4	3	no	8	3ft	elec	40	0	True	True	False	False	True	False	True	False
57	2	5	1	no	7	2ft	elec	40	0	False	True	False	False	True	True	False	False
58	2	5	2	no	7	2ft	elec	35	0	False	True	False	True	False	True	False	False
59	2	5	3	no	6	2ft	hyb	35	1	False	False	True	True	False	False	False	False
60	2	6	1	no	7	3ft	elec	40	0	True	True	False	False	True	True	False	False
61	2	6	2	no	8	2ft	elec	30	0	False	True	False	False	False	False	True	False
62	2	6	3	no	6	3ft	hyb	30	1	True	False	True	False	False	False	False	False
63	2	7	1	no	8	3ft	gas	30	1	True	False	False	False	False	False	True	False
64	2	7	2	no	7	2ft	hyb	35	0	False	False	True	True	False	True	False	False
65	2	7	3	no	6	2ft	hyb	40	0	False	False	True	False	True	False	False	False
66	2	8	1	no	8	2ft	gas	35	0	False	False	False	True	False	False	True	False
67	2	8	2	no	7	2ft	hyb	30	0	False	False	True	False	False	True	False	False
68	2	8	3	no	8	3ft	hyb	30	1	True	False	True	False	False	False	True	False
69	2	9	1	no	8	3ft	gas	35	1	True	False	False	True	False	False	True	False
70	2	9	2	no	7	3ft	elec	35	0	True	True	False	True	False	True	False	False
71	2	9	3	no	6	3ft	elec	40	0	True	True	False	False	True	False	False	False
72	2	10	1	no	7	3ft	hyb	40	0	True	False	True	False	True	True	False	False
73	2	10	2	no	6	3ft	gas	35	1	True	False	False	True	False	False	False	False
74	2	10	3	no	7	3ft	hyb	35	0	True	False	True	True	False	True	False	False
75	2	11	1	no	6	3ft	hyb	35	0	True	False	True	True	False	False	False	False
76	2	11	2	no	8	3ft	gas	40	1	True	False	False	False	True	False	True	False
